 noiseFloor:32.00 adc:4095 vref:3.3000 sim vref:3.3443
out,raw_adc,raw_diff,cor_adc,cor_diff
0,36,-36,4,-4
2,34,-32,2,0
4,35,-31,3,1
6,36,-30,4,2
8,39,-31,7,1
10,42,-32,10,0
12,43,-31,11,1
14,45,-31,13,1
16,47,-31,15,1
18,49,-31,17,1
20,50,-30,18,2
22,52,-30,20,2
24,54,-30,22,2
26,57,-31,25,1
28,58,-30,26,2
30,60,-30,28,2
32,62,-30,30,2
34,64,-30,32,2
36,66,-30,34,2
38,68,-30,36,2
40,70,-30,38,2
42,72,-30,40,2
44,74,-30,42,2
46,74,-28,42,4
48,78,-30,46,2
50,80,-30,48,2
52,81,-29,49,3
54,84,-30,52,2
56,85,-29,53,3
58,88,-30,56,2
60,89,-29,57,3
62,91,-29,59,3
64,93,-29,61,3
66,95,-29,63,3
68,97,-29,65,3
70,100,-30,68,2
72,101,-29,69,3
74,103,-29,71,3
76,105,-29,73,3
78,107,-29,75,3
80,109,-29,77,3
82,111,-29,79,3
84,113,-29,81,3
86,115,-29,83,3
88,116,-28,84,4
90,119,-29,87,3
92,121,-29,89,3
94,123,-29,91,3
96,125,-29,93,3
98,127,-29,95,3
100,129,-29,97,3
102,131,-29,99,3
104,133,-29,101,3
106,135,-29,103,3
108,137,-29,105,3
110,139,-29,107,3
112,141,-29,109,3
114,143,-29,111,3
116,145,-29,113,3
118,147,-29,115,3
120,149,-29,117,3
122,151,-29,119,3
124,153,-29,121,3
126,155,-29,123,3
128,157,-29,125,3
130,159,-29,127,3
132,161,-29,129,3
134,163,-29,131,3
136,165,-29,133,3
138,167,-29,135,3
140,169,-29,137,3
142,171,-29,139,3
144,172,-28,140,4
146,174,-28,142,4
148,177,-29,145,3
150,178,-28,146,4
152,180,-28,148,4
154,183,-29,151,3
156,185,-29,153,3
158,187,-29,155,3
160,189,-29,157,3
162,191,-29,159,3
164,193,-29,161,3
166,195,-29,163,3
168,197,-29,165,3
170,198,-28,166,4
172,201,-29,169,3
174,203,-29,171,3
176,204,-28,172,4
178,207,-29,175,3
180,208,-28,176,4
182,211,-29,179,3
184,212,-28,180,4
186,214,-28,182,4
188,217,-29,185,3
190,218,-28,186,4
192,220,-28,188,4
194,221,-27,189,5
196,224,-28,192,4
198,226,-28,194,4
200,228,-28,196,4
202,230,-28,198,4
204,232,-28,200,4
206,234,-28,202,4
208,236,-28,204,4
210,238,-28,206,4
212,240,-28,208,4
214,242,-28,210,4
216,244,-28,212,4
218,246,-28,214,4
220,248,-28,216,4
222,250,-28,218,4
224,252,-28,220,4
226,254,-28,222,4
228,256,-28,224,4
230,258,-28,226,4
232,260,-28,228,4
234,261,-27,229,5
236,264,-28,232,4
238,266,-28,234,4
240,267,-27,235,5
242,270,-28,238,4
244,272,-28,240,4
246,273,-27,241,5
248,276,-28,244,4
250,278,-28,246,4
252,279,-27,247,5
254,282,-28,250,4
256,284,-28,252,4
258,285,-27,253,5
260,288,-28,256,4
262,289,-27,257,5
264,291,-27,259,5
266,293,-27,261,5
268,296,-28,264,4
270,298,-28,266,4
272,299,-27,267,5
274,302,-28,270,4
276,304,-28,272,4
278,307,-29,275,3
280,307,-27,275,5
282,309,-27,277,5
284,312,-28,280,4
286,313,-27,281,5
288,316,-28,284,4
290,317,-27,285,5
292,319,-27,287,5
294,321,-27,289,5
296,323,-27,291,5
298,325,-27,293,5
300,327,-27,295,5
302,330,-28,298,4
304,331,-27,299,5
306,333,-27,301,5
308,335,-27,303,5
310,337,-27,305,5
312,339,-27,307,5
314,341,-27,309,5
316,343,-27,311,5
318,345,-27,313,5
320,347,-27,315,5
322,349,-27,317,5
324,351,-27,319,5
326,353,-27,321,5
328,355,-27,323,5
330,357,-27,325,5
332,359,-27,327,5
334,361,-27,329,5
336,363,-27,331,5
338,365,-27,333,5
340,367,-27,335,5
342,369,-27,337,5
344,371,-27,339,5
346,372,-26,340,6
348,374,-26,342,6
350,377,-27,345,5
352,379,-27,347,5
354,381,-27,349,5
356,382,-26,350,6
358,385,-27,353,5
360,387,-27,355,5
362,389,-27,357,5
364,391,-27,359,5
366,393,-27,361,5
368,395,-27,363,5
370,398,-28,366,4
372,399,-27,367,5
374,401,-27,369,5
376,403,-27,371,5
378,405,-27,373,5
380,407,-27,375,5
382,409,-27,377,5
384,411,-27,379,5
386,413,-27,381,5
388,415,-27,383,5
390,417,-27,385,5
392,419,-27,387,5
394,421,-27,389,5
396,423,-27,391,5
398,425,-27,393,5
400,427,-27,395,5
402,429,-27,397,5
404,431,-27,399,5
406,433,-27,401,5
408,435,-27,403,5
410,436,-26,404,6
412,439,-27,407,5
414,441,-27,409,5
416,443,-27,411,5
418,444,-26,412,6
420,447,-27,415,5
422,449,-27,417,5
424,451,-27,419,5
426,452,-26,420,6
428,456,-28,424,4
430,457,-27,425,5
432,459,-27,427,5
434,460,-26,428,6
436,463,-27,431,5
438,465,-27,433,5
440,466,-26,434,6
442,469,-27,437,5
444,471,-27,439,5
446,473,-27,441,5
448,475,-27,443,5
450,476,-26,444,6
452,479,-27,447,5
454,481,-27,449,5
456,482,-26,450,6
458,484,-26,452,6
460,487,-27,455,5
462,488,-26,456,6
464,491,-27,459,5
466,492,-26,460,6
468,494,-26,462,6
470,496,-26,464,6
472,499,-27,467,5
474,500,-26,468,6
476,502,-26,470,6
478,505,-27,473,5
480,506,-26,474,6
482,508,-26,476,6
484,510,-26,480,4
486,511,-25,487,-1
488,511,-23,487,1
490,511,-21,487,3
492,511,-19,487,5
494,511,-17,487,7
496,513,-17,489,7
498,514,-16,490,8
500,516,-16,492,8
502,518,-16,494,8
504,521,-17,497,7
506,523,-17,499,7
508,524,-16,500,8
510,526,-16,502,8
512,529,-17,505,7
514,531,-17,507,7
516,532,-16,508,8
518,534,-16,510,8
520,536,-16,512,8
522,538,-16,514,8
524,540,-16,516,8
526,542,-16,518,8
528,544,-16,520,8
530,546,-16,522,8
532,548,-16,524,8
534,550,-16,526,8
536,552,-16,528,8
538,554,-16,530,8
540,556,-16,532,8
542,558,-16,534,8
544,561,-17,537,7
546,562,-16,538,8
548,564,-16,540,8
550,565,-15,541,9
552,569,-17,545,7
554,570,-16,546,8
556,572,-16,548,8
558,573,-15,549,9
560,577,-17,553,7
562,577,-15,553,9
564,580,-16,556,8
566,581,-15,557,9
568,584,-16,560,8
570,586,-16,562,8
572,588,-16,564,8
574,589,-15,565,9
576,592,-16,568,8
578,594,-16,570,8
580,596,-16,572,8
582,597,-15,573,9
584,600,-16,576,8
586,602,-16,578,8
588,604,-16,580,8
590,606,-16,582,8
592,608,-16,584,8
594,610,-16,586,8
596,611,-15,587,9
598,613,-15,589,9
600,617,-17,593,7
602,618,-16,594,8
604,619,-15,595,9
606,621,-15,597,9
608,624,-16,600,8
610,626,-16,602,8
612,628,-16,604,8
614,629,-15,605,9
616,632,-16,608,8
618,634,-16,610,8
620,635,-15,611,9
622,638,-16,614,8
624,640,-16,616,8
626,642,-16,618,8
628,644,-16,620,8
630,646,-16,622,8
632,648,-16,624,8
634,650,-16,626,8
636,652,-16,628,8
638,654,-16,630,8
640,656,-16,632,8
642,658,-16,634,8
644,659,-15,635,9
646,662,-16,638,8
648,664,-16,640,8
650,666,-16,642,8
652,668,-16,644,8
654,670,-16,646,8
656,672,-16,648,8
658,674,-16,650,8
660,676,-16,652,8
662,678,-16,654,8
664,680,-16,656,8
666,682,-16,658,8
668,684,-16,660,8
670,686,-16,662,8
672,688,-16,664,8
674,690,-16,666,8
676,692,-16,668,8
678,694,-16,670,8
680,696,-16,672,8
682,698,-16,674,8
684,699,-15,675,9
686,702,-16,678,8
688,703,-15,679,9
690,706,-16,682,8
692,708,-16,684,8
694,709,-15,685,9
696,712,-16,688,8
698,714,-16,690,8
700,716,-16,692,8
702,718,-16,694,8
704,720,-16,696,8
706,722,-16,698,8
708,724,-16,700,8
710,725,-15,701,9
712,728,-16,704,8
714,730,-16,706,8
716,732,-16,708,8
718,733,-15,709,9
720,736,-16,712,8
722,738,-16,714,8
724,739,-15,715,9
726,741,-15,717,9
728,744,-16,720,8
730,746,-16,722,8
732,748,-16,724,8
734,749,-15,725,9
736,752,-16,728,8
738,753,-15,729,9
740,755,-15,731,9
742,757,-15,733,9
744,760,-16,736,8
746,760,-14,736,10
748,764,-16,740,8
750,766,-16,742,8
752,767,-15,743,9
754,769,-15,745,9
756,771,-15,747,9
758,773,-15,749,9
760,775,-15,751,9
762,777,-15,753,9
764,779,-15,755,9
766,781,-15,757,9
768,783,-15,759,9
770,785,-15,761,9
772,787,-15,763,9
774,788,-14,764,10
776,791,-15,767,9
778,793,-15,769,9
780,795,-15,771,9
782,797,-15,773,9
784,799,-15,775,9
786,801,-15,777,9
788,803,-15,779,9
790,805,-15,781,9
792,807,-15,783,9
794,810,-16,786,8
796,811,-15,787,9
798,813,-15,789,9
800,815,-15,791,9
802,817,-15,793,9
804,819,-15,795,9
806,820,-14,796,10
808,823,-15,799,9
810,825,-15,801,9
812,827,-15,803,9
814,829,-15,805,9
816,831,-15,807,9
818,833,-15,809,9
820,835,-15,811,9
822,836,-14,812,10
824,839,-15,815,9
826,841,-15,817,9
828,843,-15,819,9
830,845,-15,821,9
832,847,-15,823,9
834,849,-15,825,9
836,851,-15,827,9
838,853,-15,829,9
840,855,-15,831,9
842,857,-15,833,9
844,859,-15,835,9
846,861,-15,837,9
848,864,-16,840,8
850,865,-15,841,9
852,867,-15,843,9
854,869,-15,845,9
856,871,-15,847,9
858,873,-15,849,9
860,875,-15,851,9
862,877,-15,853,9
864,879,-15,855,9
866,881,-15,857,9
868,883,-15,859,9
870,884,-14,860,10
872,887,-15,863,9
874,889,-15,865,9
876,890,-14,866,10
878,892,-14,868,10
880,896,-16,872,8
882,897,-15,873,9
884,899,-15,875,9
886,901,-15,877,9
888,903,-15,879,9
890,905,-15,881,9
892,907,-15,883,9
894,909,-15,885,9
896,911,-15,887,9
898,913,-15,889,9
900,915,-15,891,9
902,917,-15,893,9
904,919,-15,895,9
906,921,-15,897,9
908,923,-15,899,9
910,925,-15,901,9
912,927,-15,903,9
914,929,-15,905,9
916,931,-15,907,9
918,933,-15,909,9
920,935,-15,911,9
922,937,-15,913,9
924,939,-15,915,9
926,940,-14,916,10
928,943,-15,919,9
930,945,-15,921,9
932,947,-15,923,9
934,950,-16,926,8
936,951,-15,927,9
938,953,-15,929,9
940,955,-15,931,9
942,957,-15,933,9
944,959,-15,935,9
946,961,-15,937,9
948,963,-15,939,9
950,965,-15,941,9
952,967,-15,943,9
954,969,-15,945,9
956,971,-15,947,9
958,973,-15,949,9
960,975,-15,951,9
962,977,-15,953,9
964,979,-15,955,9
966,981,-15,957,9
968,983,-15,959,9
970,985,-15,961,9
972,987,-15,963,9
974,989,-15,965,9
976,991,-15,967,9
978,993,-15,969,9
980,994,-14,970,10
982,996,-14,972,10
984,998,-14,974,10
986,1002,-16,978,8
988,1003,-15,979,9
990,1003,-13,979,11
992,1008,-16,984,8
994,1008,-14,984,10
996,1011,-15,987,9
998,1013,-15,989,9
1000,1015,-15,991,9
1002,1017,-15,993,9
1004,1019,-15,995,9
1006,1020,-14,996,10
1008,1023,-15,999,9
1010,1025,-15,1001,9
1012,1026,-14,1002,10
1014,1029,-15,1005,9
1016,1031,-15,1007,9
1018,1033,-15,1009,9
1020,1035,-15,1011,9
1022,1037,-15,1013,9
1024,1039,-15,1015,9
1026,1040,-14,1016,10
1028,1043,-15,1019,9
1030,1045,-15,1021,9
1032,1047,-15,1023,9
1034,1049,-15,1025,9
1036,1051,-15,1027,9
1038,1053,-15,1029,9
1040,1054,-14,1030,10
1042,1057,-15,1033,9
1044,1059,-15,1035,9
1046,1060,-14,1036,10
1048,1062,-14,1038,10
1050,1065,-15,1041,9
1052,1067,-15,1043,9
1054,1069,-15,1045,9
1056,1071,-15,1047,9
1058,1072,-14,1048,10
1060,1074,-14,1050,10
1062,1076,-14,1052,10
1064,1079,-15,1055,9
1066,1081,-15,1057,9
1068,1083,-15,1059,9
1070,1085,-15,1061,9
1072,1087,-15,1063,9
1074,1089,-15,1065,9
1076,1091,-15,1067,9
1078,1093,-15,1069,9
1080,1094,-14,1070,10
1082,1097,-15,1073,9
1084,1099,-15,1075,9
1086,1101,-15,1077,9
1088,1102,-14,1078,10
1090,1106,-16,1082,8
1092,1106,-14,1082,10
1094,1108,-14,1084,10
1096,1111,-15,1087,9
1098,1113,-15,1089,9
1100,1115,-15,1091,9
1102,1116,-14,1092,10
1104,1119,-15,1095,9
1106,1121,-15,1097,9
1108,1122,-14,1098,10
1110,1125,-15,1101,9
1112,1127,-15,1103,9
1114,1129,-15,1105,9
1116,1131,-15,1107,9
1118,1132,-14,1108,10
1120,1135,-15,1111,9
1122,1137,-15,1113,9
1124,1139,-15,1115,9
1126,1141,-15,1117,9
1128,1143,-15,1119,9
1130,1145,-15,1121,9
1132,1147,-15,1123,9
1134,1149,-15,1125,9
1136,1151,-15,1127,9
1138,1153,-15,1129,9
1140,1155,-15,1131,9
1142,1157,-15,1133,9
1144,1159,-15,1135,9
1146,1161,-15,1137,9
1148,1163,-15,1139,9
1150,1165,-15,1141,9
1152,1167,-15,1143,9
1154,1169,-15,1145,9
1156,1171,-15,1147,9
1158,1173,-15,1149,9
1160,1176,-16,1152,8
1162,1178,-16,1154,8
1164,1179,-15,1155,9
1166,1182,-16,1158,8
1168,1183,-15,1159,9
1170,1185,-15,1161,9
1172,1187,-15,1163,9
1174,1189,-15,1165,9
1176,1191,-15,1167,9
1178,1194,-16,1170,8
1180,1195,-15,1171,9
1182,1197,-15,1173,9
1184,1199,-15,1175,9
1186,1201,-15,1177,9
1188,1203,-15,1179,9
1190,1205,-15,1181,9
1192,1207,-15,1183,9
1194,1208,-14,1184,10
1196,1211,-15,1187,9
1198,1213,-15,1189,9
1200,1216,-16,1192,8
1202,1217,-15,1193,9
1204,1219,-15,1195,9
1206,1221,-15,1197,9
1208,1223,-15,1199,9
1210,1225,-15,1201,9
1212,1228,-16,1204,8
1214,1229,-15,1205,9
1216,1231,-15,1207,9
1218,1233,-15,1209,9
1220,1236,-16,1212,8
1222,1237,-15,1213,9
1224,1239,-15,1215,9
1226,1241,-15,1217,9
1228,1243,-15,1219,9
1230,1245,-15,1221,9
1232,1247,-15,1223,9
1234,1249,-15,1225,9
1236,1251,-15,1227,9
1238,1253,-15,1229,9
1240,1255,-15,1231,9
1242,1257,-15,1233,9
1244,1260,-16,1236,8
1246,1261,-15,1237,9
1248,1264,-16,1240,8
1250,1265,-15,1241,9
1252,1267,-15,1243,9
1254,1269,-15,1245,9
1256,1271,-15,1247,9
1258,1273,-15,1249,9
1260,1275,-15,1251,9
1262,1277,-15,1253,9
1264,1279,-15,1255,9
1266,1281,-15,1257,9
1268,1284,-16,1260,8
1270,1284,-14,1260,10
1272,1286,-14,1262,10
1274,1289,-15,1265,9
1276,1291,-15,1267,9
1278,1292,-14,1268,10
1280,1295,-15,1271,9
1282,1297,-15,1273,9
1284,1299,-15,1275,9
1286,1300,-14,1276,10
1288,1303,-15,1279,9
1290,1305,-15,1281,9
1292,1307,-15,1283,9
1294,1309,-15,1285,9
1296,1311,-15,1287,9
1298,1313,-15,1289,9
1300,1314,-14,1290,10
1302,1317,-15,1293,9
1304,1319,-15,1295,9
1306,1321,-15,1297,9
1308,1323,-15,1299,9
1310,1325,-15,1301,9
1312,1327,-15,1303,9
1314,1329,-15,1305,9
1316,1331,-15,1307,9
1318,1333,-15,1309,9
1320,1334,-14,1310,10
1322,1337,-15,1313,9
1324,1339,-15,1315,9
1326,1340,-14,1316,10
1328,1343,-15,1319,9
1330,1345,-15,1321,9
1332,1347,-15,1323,9
1334,1348,-14,1324,10
1336,1351,-15,1327,9
1338,1353,-15,1329,9
1340,1355,-15,1331,9
1342,1357,-15,1333,9
1344,1359,-15,1335,9
1346,1361,-15,1337,9
1348,1363,-15,1339,9
1350,1365,-15,1341,9
1352,1367,-15,1343,9
1354,1370,-16,1346,8
1356,1370,-14,1346,10
1358,1373,-15,1349,9
1360,1375,-15,1351,9
1362,1377,-15,1353,9
1364,1379,-15,1355,9
1366,1381,-15,1357,9
1368,1383,-15,1359,9
1370,1386,-16,1362,8
1372,1387,-15,1363,9
1374,1389,-15,1365,9
1376,1391,-15,1367,9
1378,1392,-14,1368,10
1380,1395,-15,1371,9
1382,1397,-15,1373,9
1384,1398,-14,1374,10
1386,1401,-15,1377,9
1388,1403,-15,1379,9
1390,1405,-15,1381,9
1392,1407,-15,1383,9
1394,1409,-15,1385,9
1396,1411,-15,1387,9
1398,1413,-15,1389,9
1400,1416,-16,1392,8
1402,1418,-16,1394,8
1404,1420,-16,1396,8
1406,1421,-15,1397,9
1408,1424,-16,1400,8
1410,1426,-16,1402,8
1412,1427,-15,1403,9
1414,1429,-15,1405,9
1416,1432,-16,1408,8
1418,1433,-15,1409,9
1420,1435,-15,1411,9
1422,1437,-15,1413,9
1424,1440,-16,1416,8
1426,1442,-16,1418,8
1428,1443,-15,1419,9
1430,1445,-15,1421,9
1432,1449,-17,1425,7
1434,1449,-15,1425,9
1436,1451,-15,1427,9
1438,1453,-15,1429,9
1440,1455,-15,1431,9
1442,1458,-16,1434,8
1444,1458,-14,1434,10
1446,1461,-15,1437,9
1448,1463,-15,1439,9
1450,1465,-15,1441,9
1452,1467,-15,1443,9
1454,1469,-15,1445,9
1456,1472,-16,1448,8
1458,1474,-16,1450,8
1460,1476,-16,1452,8
1462,1477,-15,1453,9
1464,1480,-16,1456,8
1466,1482,-16,1458,8
1468,1484,-16,1460,8
1470,1485,-15,1461,9
1472,1488,-16,1464,8
1474,1490,-16,1466,8
1476,1492,-16,1468,8
1478,1493,-15,1469,9
1480,1496,-16,1472,8
1482,1498,-16,1474,8
1484,1499,-15,1475,9
1486,1502,-16,1478,8
1488,1504,-16,1480,8
1490,1506,-16,1482,8
1492,1508,-16,1484,8
1494,1509,-15,1485,9
1496,1511,-15,1487,9
1498,1514,-16,1490,8
1500,1516,-16,1492,8
1502,1517,-15,1493,9
1504,1519,-15,1495,9
1506,1521,-15,1497,9
1508,1524,-16,1500,8
1510,1526,-16,1502,8
1512,1527,-15,1503,9
1514,1530,-16,1506,8
1516,1532,-16,1508,8
1518,1533,-15,1509,9
1520,1534,-14,1513,7
1522,1535,-13,1520,2
1524,1535,-11,1520,4
1526,1535,-9,1520,6
1528,1536,-8,1521,7
1530,1537,-7,1522,8
1532,1538,-6,1523,9
1534,1540,-6,1525,9
1536,1543,-7,1528,8
1538,1545,-7,1530,8
1540,1547,-7,1532,8
1542,1548,-6,1533,9
1544,1551,-7,1536,8
1546,1553,-7,1538,8
1548,1555,-7,1540,8
1550,1556,-6,1541,9
1552,1559,-7,1544,8
1554,1560,-6,1545,9
1556,1563,-7,1548,8
1558,1564,-6,1549,9
1560,1567,-7,1552,8
1562,1568,-6,1553,9
1564,1571,-7,1556,8
1566,1572,-6,1557,9
1568,1576,-8,1561,7
1570,1576,-6,1561,9
1572,1579,-7,1564,8
1574,1581,-7,1566,8
1576,1582,-6,1567,9
1578,1584,-6,1569,9
1580,1587,-7,1572,8
1582,1589,-7,1574,8
1584,1591,-7,1576,8
1586,1593,-7,1578,8
1588,1594,-6,1579,9
1590,1596,-6,1581,9
1592,1599,-7,1584,8
1594,1601,-7,1586,8
