ADC_Code,DAC_Output,ADC_Input,Diff,Spikes
0,,,,0.0
1,,,,0.0
2,,,,0.0
3,,,,0.0
4,,,,0.0
5,,,,0.0
6,,,,0.0
7,,,,0.0
8,,,,0.0
9,,,,0.0
10,,,,0.0
11,,,,0.0
12,,,,0.0
13,,,,0.0
14,,,,0.0
15,,,,0.0
16,,,,0.0
17,,,,0.0
18,,,,0.0
19,,,,0.0
20,,,,0.0
21,,,,0.0
22,,,,0.0
23,,,,0.0
24,,,,0.0
25,,,,0.0
26,,,,0.0
27,,,,0.0
28,,,,0.0
29,,,,0.0
30,,,,0.0
31,,,,0.0
32,,,,0.0
33,,,,0.0
34,2.0,34.0,-32.0,0.0
35,4.0,35.0,-31.0,0.0
36,6.0,36.0,-30.0,0.0
37,,,,0.0
38,,,,0.0
39,8.0,39.0,-31.0,0.0
40,,,,0.0
41,,,,0.0
42,10.0,42.0,-32.0,0.0
43,12.0,43.0,-31.0,0.0
44,,,,0.0
45,14.0,45.0,-31.0,0.0
46,,,,0.0
47,16.0,47.0,-31.0,0.0
48,,,,0.0
49,18.0,49.0,-31.0,0.0
50,20.0,50.0,-30.0,0.0
51,,,,0.0
52,22.0,52.0,-30.0,0.0
53,,,,0.0
54,24.0,54.0,-30.0,0.0
55,,,,0.0
56,,,,0.0
57,26.0,57.0,-31.0,0.0
58,28.0,58.0,-30.0,0.0
59,,,,0.0
60,30.0,60.0,-30.0,0.0
61,,,,0.0
62,32.0,62.0,-30.0,0.0
63,,,,0.0
64,34.0,64.0,-30.0,0.0
65,,,,0.0
66,36.0,66.0,-30.0,0.0
67,,,,0.0
68,38.0,68.0,-30.0,0.0
69,,,,0.0
70,40.0,70.0,-30.0,0.0
71,,,,0.0
72,42.0,72.0,-30.0,0.0
73,,,,0.0
74,46.0,74.0,-28.0,0.0
75,,,,0.0
76,,,,0.0
77,,,,0.0
78,48.0,78.0,-30.0,0.0
79,,,,0.0
80,50.0,80.0,-30.0,0.0
81,52.0,81.0,-29.0,0.0
82,,,,0.0
83,,,,0.0
84,54.0,84.0,-30.0,0.0
85,56.0,85.0,-29.0,0.0
86,,,,0.0
87,,,,0.0
88,58.0,88.0,-30.0,0.0
89,60.0,89.0,-29.0,0.0
90,,,,0.0
91,62.0,91.0,-29.0,0.0
92,,,,0.0
93,64.0,93.0,-29.0,0.0
94,,,,0.0
95,66.0,95.0,-29.0,0.0
96,,,,0.0
97,68.0,97.0,-29.0,0.0
98,,,,0.0
99,,,,0.0
100,70.0,100.0,-30.0,0.0
101,72.0,101.0,-29.0,0.0
102,,,,0.0
103,74.0,103.0,-29.0,0.0
104,,,,0.0
105,76.0,105.0,-29.0,0.0
106,,,,0.0
107,78.0,107.0,-29.0,0.0
108,,,,0.0
109,80.0,109.0,-29.0,0.0
110,,,,0.0
111,82.0,111.0,-29.0,0.0
112,,,,0.0
113,84.0,113.0,-29.0,0.0
114,,,,0.0
115,86.0,115.0,-29.0,0.0
116,88.0,116.0,-28.0,0.0
117,,,,0.0
118,,,,0.0
119,90.0,119.0,-29.0,0.0
120,,,,0.0
121,92.0,121.0,-29.0,0.0
122,,,,0.0
123,94.0,123.0,-29.0,0.0
124,,,,0.0
125,96.0,125.0,-29.0,0.0
126,,,,0.0
127,98.0,127.0,-29.0,0.0
128,,,,0.0
129,100.0,129.0,-29.0,0.0
130,,,,0.0
131,102.0,131.0,-29.0,0.0
132,,,,0.0
133,104.0,133.0,-29.0,0.0
134,,,,0.0
135,106.0,135.0,-29.0,0.0
136,,,,0.0
137,108.0,137.0,-29.0,0.0
138,,,,0.0
139,110.0,139.0,-29.0,0.0
140,,,,0.0
141,112.0,141.0,-29.0,0.0
142,,,,0.0
143,114.0,143.0,-29.0,0.0
144,,,,0.0
145,116.0,145.0,-29.0,0.0
146,,,,0.0
147,118.0,147.0,-29.0,0.0
148,,,,0.0
149,120.0,149.0,-29.0,0.0
150,,,,0.0
151,122.0,151.0,-29.0,0.0
152,,,,0.0
153,124.0,153.0,-29.0,0.0
154,,,,0.0
155,126.0,155.0,-29.0,0.0
156,,,,0.0
157,128.0,157.0,-29.0,0.0
158,,,,0.0
159,130.0,159.0,-29.0,0.0
160,,,,0.0
161,132.0,161.0,-29.0,0.0
162,,,,0.0
163,134.0,163.0,-29.0,0.0
164,,,,0.0
165,136.0,165.0,-29.0,0.0
166,,,,0.0
167,138.0,167.0,-29.0,0.0
168,,,,0.0
169,140.0,169.0,-29.0,0.0
170,,,,0.0
171,142.0,171.0,-29.0,0.0
172,144.0,172.0,-28.0,0.0
173,,,,0.0
174,146.0,174.0,-28.0,0.0
175,,,,0.0
176,,,,0.0
177,148.0,177.0,-29.0,0.0
178,150.0,178.0,-28.0,0.0
179,,,,0.0
180,152.0,180.0,-28.0,0.0
181,,,,0.0
182,,,,0.0
183,154.0,183.0,-29.0,0.0
184,,,,0.0
185,156.0,185.0,-29.0,0.0
186,,,,0.0
187,158.0,187.0,-29.0,0.0
188,,,,0.0
189,160.0,189.0,-29.0,0.0
190,,,,0.0
191,162.0,191.0,-29.0,0.0
192,,,,0.0
193,164.0,193.0,-29.0,0.0
194,,,,0.0
195,166.0,195.0,-29.0,0.0
196,,,,0.0
197,168.0,197.0,-29.0,0.0
198,170.0,198.0,-28.0,0.0
199,,,,0.0
200,,,,0.0
201,172.0,201.0,-29.0,0.0
202,,,,0.0
203,174.0,203.0,-29.0,0.0
204,176.0,204.0,-28.0,0.0
205,,,,0.0
206,,,,0.0
207,178.0,207.0,-29.0,0.0
208,180.0,208.0,-28.0,0.0
209,,,,0.0
210,,,,0.0
211,182.0,211.0,-29.0,0.0
212,184.0,212.0,-28.0,0.0
213,,,,0.0
214,186.0,214.0,-28.0,0.0
215,,,,0.0
216,,,,0.0
217,188.0,217.0,-29.0,0.0
218,190.0,218.0,-28.0,0.0
219,,,,0.0
220,192.0,220.0,-28.0,0.0
221,194.0,221.0,-27.0,0.0
222,,,,0.0
223,,,,0.0
224,196.0,224.0,-28.0,0.0
225,,,,0.0
226,198.0,226.0,-28.0,0.0
227,,,,0.0
228,200.0,228.0,-28.0,0.0
229,,,,0.0
230,202.0,230.0,-28.0,0.0
231,,,,0.0
232,204.0,232.0,-28.0,0.0
233,,,,0.0
234,206.0,234.0,-28.0,0.0
235,,,,0.0
236,208.0,236.0,-28.0,0.0
237,,,,0.0
238,210.0,238.0,-28.0,0.0
239,,,,0.0
240,212.0,240.0,-28.0,0.0
241,,,,0.0
242,214.0,242.0,-28.0,0.0
243,,,,0.0
244,216.0,244.0,-28.0,0.0
245,,,,0.0
246,218.0,246.0,-28.0,0.0
247,,,,0.0
248,220.0,248.0,-28.0,0.0
249,,,,0.0
250,222.0,250.0,-28.0,0.0
251,,,,0.0
252,224.0,252.0,-28.0,0.0
253,,,,0.0
